iso3,sovereign_iso3,WTO_name,WTO_status,is_EU,is_overseas_territory,is_permanently_inhabited,development_status,is_WTO
AFG,AFG,Afghanistan,Member,FALSE,FALSE,TRUE,LDC,TRUE
AGO,AGO,Angola,Member,FALSE,FALSE,TRUE,LDC,TRUE
ALB,ALB,Albania,Member,FALSE,FALSE,TRUE,Developed,TRUE
AND,AND,Andorra,Observer,FALSE,FALSE,TRUE,,TRUE
ARE,ARE,United Arab Emirates,Member,FALSE,FALSE,TRUE,,TRUE
ARG,ARG,Argentina,Member,FALSE,FALSE,TRUE,,TRUE
ARM,ARM,Armenia,Member,FALSE,FALSE,TRUE,Developed,TRUE
ATG,ATG,Antigua and Barbuda,Member,FALSE,FALSE,TRUE,,TRUE
AUS,AUS,Australia,Member,FALSE,FALSE,TRUE,Developed,TRUE
CXR,AUS,,,FALSE,TRUE,TRUE,,TRUE
NFK,AUS,,,FALSE,TRUE,TRUE,,TRUE
AUT,AUT,Austria,Member,TRUE,FALSE,TRUE,Developed,TRUE
AZE,AZE,Azerbaijan,Observer,FALSE,FALSE,TRUE,Developed,TRUE
BDI,BDI,Burundi,Member,FALSE,FALSE,TRUE,LDC,TRUE
BEL,BEL,Belgium,Member,TRUE,FALSE,TRUE,Developed,TRUE
BEN,BEN,Benin,Member,FALSE,FALSE,TRUE,LDC,TRUE
BFA,BFA,Burkina Faso,Member,FALSE,FALSE,TRUE,LDC,TRUE
BGD,BGD,Bangladesh,Member,FALSE,FALSE,TRUE,LDC,TRUE
BGR,BGR,Bulgaria,Member,TRUE,FALSE,TRUE,,TRUE
BHR,BHR,"Bahrain, Kingdom of",Member,FALSE,FALSE,TRUE,,TRUE
BHS,BHS,Bahamas,Observer,FALSE,FALSE,TRUE,,TRUE
BIH,BIH,Bosnia and Herzegovina,Observer,FALSE,FALSE,TRUE,Developed,TRUE
BLR,BLR,Belarus,Observer,FALSE,FALSE,TRUE,Developed,TRUE
BLZ,BLZ,Belize,Member,FALSE,FALSE,TRUE,,TRUE
BOL,BOL,"Bolivia, Plurinational State of",Member,FALSE,FALSE,TRUE,,TRUE
BRA,BRA,Brazil,Member,FALSE,FALSE,TRUE,,TRUE
BRB,BRB,Barbados,Member,FALSE,FALSE,TRUE,,TRUE
BRN,BRN,Brunei Darussalam,Member,FALSE,FALSE,TRUE,,TRUE
BTN,BTN,Bhutan,Observer,FALSE,FALSE,TRUE,LDC,TRUE
BWA,BWA,Botswana,Member,FALSE,FALSE,TRUE,,TRUE
CAF,CAF,Central African Republic,Member,FALSE,FALSE,TRUE,LDC,TRUE
CAN,CAN,Canada,Member,FALSE,FALSE,TRUE,Developed,TRUE
CHE,CHE,Switzerland,Member,FALSE,FALSE,TRUE,Developed,TRUE
CHL,CHL,Chile,Member,FALSE,FALSE,TRUE,Developing,TRUE
CHN,CHN,China,Member,FALSE,FALSE,TRUE,,TRUE
CIV,CIV,Cote d'Ivoire,Member,FALSE,FALSE,TRUE,,TRUE
CMR,CMR,Cameroon,Member,FALSE,FALSE,TRUE,,TRUE
COD,COD,Democratic Republic of the Congo,Member,FALSE,FALSE,TRUE,LDC,TRUE
COG,COG,Congo,Member,FALSE,FALSE,TRUE,,TRUE
COK,COK,Cook Islands,Non-Member,FALSE,FALSE,TRUE,,FALSE
COL,COL,Colombia,Member,FALSE,FALSE,TRUE,,TRUE
COM,COM,Comoros,Observer,FALSE,FALSE,TRUE,LDC,TRUE
CPV,CPV,Cabo Verde,Member,FALSE,FALSE,TRUE,,TRUE
CRI,CRI,Costa Rica,Member,FALSE,FALSE,TRUE,,TRUE
CUB,CUB,Cuba,Member,FALSE,FALSE,TRUE,,TRUE
CYP,CYP,Cyprus,Member,TRUE,FALSE,TRUE,,TRUE
CZE,CZE,Czech Republic,Member,TRUE,FALSE,TRUE,Developed,TRUE
DEU,DEU,Germany,Member,TRUE,FALSE,TRUE,Developed,TRUE
DJI,DJI,Djibouti,Member,FALSE,FALSE,TRUE,LDC,TRUE
DMA,DMA,Dominica,Member,FALSE,FALSE,TRUE,,TRUE
DNK,DNK,Denmark,Member,TRUE,FALSE,TRUE,Developed,TRUE
FRO,DNK,,,FALSE,TRUE,TRUE,,TRUE
GRL,DNK,,,FALSE,TRUE,TRUE,,TRUE
DOM,DOM,Dominican Republic,Member,FALSE,FALSE,TRUE,,TRUE
DZA,DZA,Algeria,Observer,FALSE,FALSE,TRUE,,TRUE
ECU,ECU,Ecuador,Member,FALSE,FALSE,TRUE,,TRUE
EGY,EGY,Egypt,Member,FALSE,FALSE,TRUE,,TRUE
ERI,ERI,Eritrea,Non-Member,FALSE,FALSE,TRUE,LDC,FALSE
ESP,ESP,Spain,Member,TRUE,FALSE,TRUE,Developed,TRUE
EST,EST,Estonia,Member,TRUE,FALSE,TRUE,Developed,TRUE
ETH,ETH,Ethiopia,Observer,FALSE,FALSE,TRUE,LDC,TRUE
FIN,FIN,Finland,Member,TRUE,FALSE,TRUE,Developed,TRUE
FJI,FJI,Fiji,Member,FALSE,FALSE,TRUE,,TRUE
FRA,FRA,France,Member,TRUE,FALSE,TRUE,Developed,TRUE
ATF,FRA,,,FALSE,TRUE,FALSE,,TRUE
BLM,FRA,,,FALSE,TRUE,TRUE,,TRUE
CPT,FRA,,,FALSE,TRUE,FALSE,,TRUE
GLP,FRA,,,FALSE,TRUE,TRUE,,TRUE
GUF,FRA,,,FALSE,TRUE,TRUE,,TRUE
MAF,FRA,,,FALSE,TRUE,TRUE,,TRUE
MTQ,FRA,,,FALSE,TRUE,TRUE,,TRUE
MYT,FRA,,,FALSE,TRUE,TRUE,,TRUE
NCL,FRA,,,FALSE,TRUE,TRUE,,TRUE
PYF,FRA,,,FALSE,TRUE,TRUE,,TRUE
REU,FRA,,,FALSE,TRUE,TRUE,,TRUE
SPM,FRA,,,FALSE,TRUE,TRUE,,TRUE
WLF,FRA,,,FALSE,TRUE,TRUE,,TRUE
FSM,FSM,Micronesia (Federated States of),Non-Member,FALSE,FALSE,TRUE,,FALSE
GAB,GAB,Gabon,Member,FALSE,FALSE,TRUE,,TRUE
GBR,GBR,United Kingdom,Member,TRUE,FALSE,TRUE,Developed,TRUE
AIA,GBR,,,FALSE,TRUE,FALSE,,TRUE
ASC,GBR,,,FALSE,TRUE,TRUE,,TRUE
BMU,GBR,,,FALSE,TRUE,TRUE,,TRUE
CYM,GBR,,,FALSE,TRUE,TRUE,,TRUE
FLK,GBR,,,FALSE,TRUE,TRUE,,TRUE
GGY,GBR,,,FALSE,TRUE,TRUE,,TRUE
GIB,GBR,,,FALSE,TRUE,TRUE,,TRUE
IMN,GBR,,,FALSE,TRUE,TRUE,,TRUE
IOT,GBR,,,FALSE,TRUE,FALSE,,TRUE
JEY,GBR,,,FALSE,TRUE,TRUE,,TRUE
MSR,GBR,,,FALSE,TRUE,TRUE,,TRUE
PCN,GBR,,,FALSE,TRUE,TRUE,,TRUE
SGS,GBR,,,FALSE,TRUE,FALSE,,TRUE
SHN,GBR,,,FALSE,TRUE,TRUE,,TRUE
TAA,GBR,,,FALSE,TRUE,TRUE,,TRUE
TCA,GBR,,,FALSE,TRUE,TRUE,,TRUE
VGB,GBR,,,FALSE,TRUE,TRUE,,TRUE
GEO,GEO,Georgia,Member,FALSE,FALSE,TRUE,Developed,TRUE
GHA,GHA,Ghana,Member,FALSE,FALSE,TRUE,,TRUE
GIN,GIN,Guinea,Member,FALSE,FALSE,TRUE,LDC,TRUE
GMB,GMB,Gambia,Member,FALSE,FALSE,TRUE,LDC,TRUE
GNB,GNB,Guinea-Bissau,Member,FALSE,FALSE,TRUE,LDC,TRUE
GNQ,GNQ,Equatorial Guinea,Observer,FALSE,FALSE,TRUE,,TRUE
GRC,GRC,Greece,Member,TRUE,FALSE,TRUE,Developed,TRUE
GRD,GRD,Grenada,Member,FALSE,FALSE,TRUE,,TRUE
GTM,GTM,Guatemala,Member,FALSE,FALSE,TRUE,,TRUE
GUY,GUY,Guyana,Member,FALSE,FALSE,TRUE,,TRUE
HKG,HKG,"Hong Kong, China",Member,FALSE,FALSE,TRUE,,TRUE
HND,HND,Honduras,Member,FALSE,FALSE,TRUE,,TRUE
HRV,HRV,Croatia,Member,TRUE,FALSE,TRUE,,TRUE
HTI,HTI,Haiti,Member,FALSE,FALSE,TRUE,LDC,TRUE
HUN,HUN,Hungary,Member,TRUE,FALSE,TRUE,Developed,TRUE
IDN,IDN,Indonesia,Member,FALSE,FALSE,TRUE,,TRUE
IND,IND,India,Member,FALSE,FALSE,TRUE,,TRUE
IRL,IRL,Ireland,Member,TRUE,FALSE,TRUE,Developed,TRUE
IRN,IRN,Iran,Observer,FALSE,FALSE,TRUE,,TRUE
IRQ,IRQ,Iraq,Observer,FALSE,FALSE,TRUE,,TRUE
ISL,ISL,Iceland,Member,FALSE,FALSE,TRUE,Developed,TRUE
ISR,ISR,Israel,Member,FALSE,FALSE,TRUE,Developed,TRUE
ITA,ITA,Italy,Member,TRUE,FALSE,TRUE,Developed,TRUE
JAM,JAM,Jamaica,Member,FALSE,FALSE,TRUE,,TRUE
JOR,JOR,Jordan,Member,FALSE,FALSE,TRUE,,TRUE
JPN,JPN,Japan,Member,FALSE,FALSE,TRUE,Developed,TRUE
KAZ,KAZ,Kazakhstan,Member,FALSE,FALSE,TRUE,Developed,TRUE
KEN,KEN,Kenya,Member,FALSE,FALSE,TRUE,,TRUE
KGZ,KGZ,Kyrgyz Republic,Member,FALSE,FALSE,TRUE,Developed,TRUE
KHM,KHM,Cambodia,Member,FALSE,FALSE,TRUE,LDC,TRUE
KIR,KIR,Kiribati,Non-Member,FALSE,FALSE,TRUE,LDC,FALSE
KNA,KNA,Saint Kitts and Nevis,Member,FALSE,FALSE,TRUE,,TRUE
KOR,KOR,"Korea, Republic of",Member,FALSE,FALSE,TRUE,Developing,TRUE
KWT,KWT,"Kuwait, the State of",Member,FALSE,FALSE,TRUE,,TRUE
LAO,LAO,Lao People's Democratic Republic,Member,FALSE,FALSE,TRUE,LDC,TRUE
LBN,LBN,Lebanese Republic,Observer,FALSE,FALSE,TRUE,,TRUE
LBR,LBR,Liberia,Member,FALSE,FALSE,TRUE,LDC,TRUE
LBY,LBY,Libya,Observer,FALSE,FALSE,TRUE,,TRUE
LCA,LCA,Saint Lucia,Member,FALSE,FALSE,TRUE,,TRUE
LIE,LIE,Liechtenstein,Member,FALSE,FALSE,TRUE,,TRUE
LKA,LKA,Sri Lanka,Member,FALSE,FALSE,TRUE,,TRUE
LSO,LSO,Lesotho,Member,FALSE,FALSE,TRUE,LDC,TRUE
LTU,LTU,Lithuania,Member,TRUE,FALSE,TRUE,Developed,TRUE
LUX,LUX,Luxembourg,Member,TRUE,FALSE,TRUE,Developed,TRUE
LVA,LVA,Latvia,Member,TRUE,FALSE,TRUE,Developed,TRUE
MAC,MAC,"Macao, China",Member,FALSE,FALSE,TRUE,,TRUE
MAR,MAR,Morocco,Member,FALSE,FALSE,TRUE,,TRUE
ESH,MAR,,,FALSE,TRUE,TRUE,,TRUE
MCO,MCO,Monaco,Non-Member,FALSE,FALSE,TRUE,Developed,FALSE
MDA,MDA,"Moldova, Republic of",Member,FALSE,FALSE,TRUE,Developed,TRUE
MDG,MDG,Madagascar,Member,FALSE,FALSE,TRUE,LDC,TRUE
MDV,MDV,Maldives,Member,FALSE,FALSE,TRUE,,TRUE
MEX,MEX,Mexico,Member,FALSE,FALSE,TRUE,Developing,TRUE
MHL,MHL,Marshall Islands,Non-Member,FALSE,FALSE,TRUE,,FALSE
MKD,MKD,North Macedonia,Member,FALSE,FALSE,TRUE,Developed,TRUE
MLI,MLI,Mali,Member,FALSE,FALSE,TRUE,LDC,TRUE
MLT,MLT,Malta,Member,TRUE,FALSE,TRUE,,TRUE
MMR,MMR,Myanmar,Member,FALSE,FALSE,TRUE,LDC,TRUE
MNE,MNE,Montenegro,Member,FALSE,FALSE,TRUE,Developed,TRUE
MNG,MNG,Mongolia,Member,FALSE,FALSE,TRUE,,TRUE
MOZ,MOZ,Mozambique,Member,FALSE,FALSE,TRUE,LDC,TRUE
MRT,MRT,Mauritania,Member,FALSE,FALSE,TRUE,LDC,TRUE
MUS,MUS,Mauritius,Member,FALSE,FALSE,TRUE,,TRUE
MWI,MWI,Malawi,Member,FALSE,FALSE,TRUE,LDC,TRUE
MYS,MYS,Malaysia,Member,FALSE,FALSE,TRUE,,TRUE
NAM,NAM,Namibia,Member,FALSE,FALSE,TRUE,,TRUE
NER,NER,Niger,Member,FALSE,FALSE,TRUE,LDC,TRUE
NGA,NGA,Nigeria,Member,FALSE,FALSE,TRUE,,TRUE
NIC,NIC,Nicaragua,Member,FALSE,FALSE,TRUE,,TRUE
NIU,NIU,Niue,Non-Member,FALSE,FALSE,TRUE,,FALSE
NLD,NLD,Netherlands,Member,TRUE,FALSE,TRUE,Developed,TRUE
ABW,NLD,,,FALSE,TRUE,TRUE,,TRUE
ANT,NLD,,,FALSE,TRUE,TRUE,,TRUE
BES,NLD,,,FALSE,TRUE,TRUE,,TRUE
SXM,NLD,,,FALSE,TRUE,TRUE,,TRUE
CUW,NLD,Curacao,Observer,FALSE,TRUE,TRUE,Developing,TRUE
NOR,NOR,Norway,Member,FALSE,FALSE,TRUE,Developed,TRUE
BVT,NOR,,,FALSE,TRUE,FALSE,,TRUE
SJM,NOR,,,FALSE,TRUE,TRUE,,TRUE
NPL,NPL,Nepal,Member,FALSE,FALSE,TRUE,LDC,TRUE
NRU,NRU,Nauru,Non-Member,FALSE,FALSE,TRUE,,FALSE
NZL,NZL,New Zealand,Member,FALSE,FALSE,TRUE,Developed,TRUE
TKL,NZL,Tokelau,,FALSE,TRUE,TRUE,,TRUE
OMN,OMN,Oman,Member,FALSE,FALSE,TRUE,,TRUE
PAK,PAK,Pakistan,Member,FALSE,FALSE,TRUE,,TRUE
PAN,PAN,Panama,Member,FALSE,FALSE,TRUE,,TRUE
PER,PER,Peru,Member,FALSE,FALSE,TRUE,,TRUE
PHL,PHL,Philippines,Member,FALSE,FALSE,TRUE,,TRUE
PLW,PLW,Palau,Non-Member,FALSE,FALSE,TRUE,,FALSE
PNG,PNG,Papua New Guinea,Member,FALSE,FALSE,TRUE,,TRUE
POL,POL,Poland,Member,TRUE,FALSE,TRUE,Developed,TRUE
PRK,PRK,Democratic People's Republic of Korea,Non-Member,FALSE,FALSE,TRUE,,FALSE
PRT,PRT,Portugal,Member,TRUE,FALSE,TRUE,Developed,TRUE
PRY,PRY,Paraguay,Member,FALSE,FALSE,TRUE,,TRUE
PSE,PSE,Palestine,Non-Member,FALSE,FALSE,TRUE,,FALSE
QAT,QAT,Qatar,Member,FALSE,FALSE,TRUE,,TRUE
ROU,ROU,Romania,Member,TRUE,FALSE,TRUE,,TRUE
RUS,RUS,Russian Federation,Member,FALSE,FALSE,TRUE,Developed,TRUE
RWA,RWA,Rwanda,Member,FALSE,FALSE,TRUE,LDC,TRUE
SAU,SAU,"Saudi Arabia, Kingdom of",Member,FALSE,FALSE,TRUE,,TRUE
SDN,SDN,Sudan,Observer,FALSE,FALSE,TRUE,LDC,TRUE
SEN,SEN,Senegal,Member,FALSE,FALSE,TRUE,LDC,TRUE
SGP,SGP,Singapore,Member,FALSE,FALSE,TRUE,,TRUE
SLB,SLB,Solomon Islands,Member,FALSE,FALSE,TRUE,LDC,TRUE
SLE,SLE,Sierra Leone,Member,FALSE,FALSE,TRUE,LDC,TRUE
SLV,SLV,El Salvador,Member,FALSE,FALSE,TRUE,,TRUE
SMR,SMR,San Marino,Non-Member,FALSE,FALSE,TRUE,Developed,TRUE
SOM,SOM,Somalia,Observer,FALSE,FALSE,TRUE,LDC,TRUE
SRB,SRB,Serbia,Observer,FALSE,FALSE,TRUE,Developed,TRUE
SSD,SSD,South Sudan,Observer,FALSE,FALSE,TRUE,LDC,TRUE
STP,STP,Sao Tome and Principe,Observer,FALSE,FALSE,TRUE,LDC,TRUE
SUR,SUR,Suriname,Member,FALSE,FALSE,TRUE,,TRUE
SVK,SVK,Slovak Republic,Member,TRUE,FALSE,TRUE,Developed,TRUE
SVN,SVN,Slovenia,Member,TRUE,FALSE,TRUE,Developed,TRUE
SWE,SWE,Sweden,Member,TRUE,FALSE,TRUE,Developed,TRUE
SWZ,SWZ,Eswatini,Member,FALSE,FALSE,TRUE,,TRUE
SYC,SYC,Seychelles,Member,FALSE,FALSE,TRUE,,TRUE
