iso3,year,category,category_name,type,type_name,value,data_type,units,source,variable
AGO,2018,A,Beneficial,A1,Fisheries management,7402331.289,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AGO,2018,A,Beneficial,A2,Fishery research and development,216102.8855,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AGO,2018,A,Beneficial,A3,Marine protected areas,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AGO,2018,B,Capacity-enhancing,B1,Boat construction and renovation,12842685.77,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AGO,2018,B,Capacity-enhancing,B2,Fisheries development projects,6528959.537,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AGO,2018,B,Capacity-enhancing,B3,Fishing port development,3484958.702,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AGO,2018,B,Capacity-enhancing,B4,Marketing and storage infrastructure,5855177.318,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AGO,2018,B,Capacity-enhancing,B5,Non-fuel tax exemption,12077126.52,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AGO,2018,B,Capacity-enhancing,B6,Fishing access agreements,377318.47,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AGO,2018,B,Capacity-enhancing,B7,Fuel subsidies,1883821.395,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AGO,2018,C,Ambiguous,C1,Fisher assistance,653698.2873,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AGO,2018,C,Ambiguous,C2,Vessel buyback programs,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AGO,2018,C,Ambiguous,C3,Rural fisher communities,3679027.916,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ALB,2018,A,Beneficial,A1,Fisheries management,404279.0098,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ALB,2018,A,Beneficial,A2,Fishery research and development,94723.77003,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ALB,2018,A,Beneficial,A3,Marine protected areas,1095096.061,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ALB,2018,B,Capacity-enhancing,B1,Boat construction and renovation,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ALB,2018,B,Capacity-enhancing,B2,Fisheries development projects,159666.2457,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ALB,2018,B,Capacity-enhancing,B3,Fishing port development,93020.38965,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ALB,2018,B,Capacity-enhancing,B4,Marketing and storage infrastructure,121271.566,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ALB,2018,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ALB,2018,B,Capacity-enhancing,B6,Fishing access agreements,685.47,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ALB,2018,B,Capacity-enhancing,B7,Fuel subsidies,6613050.757,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ALB,2018,C,Ambiguous,C1,Fisher assistance,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ALB,2018,C,Ambiguous,C2,Vessel buyback programs,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ALB,2018,C,Ambiguous,C3,Rural fisher communities,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARE,2018,A,Beneficial,A1,Fisheries management,27294577.14,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARE,2018,A,Beneficial,A2,Fishery research and development,6395200.308,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARE,2018,A,Beneficial,A3,Marine protected areas,4342666.708,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARE,2018,B,Capacity-enhancing,B1,Boat construction and renovation,3826540.782,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARE,2018,B,Capacity-enhancing,B2,Fisheries development projects,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARE,2018,B,Capacity-enhancing,B3,Fishing port development,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARE,2018,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARE,2018,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARE,2018,B,Capacity-enhancing,B6,Fishing access agreements,1029802.24,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARE,2018,B,Capacity-enhancing,B7,Fuel subsidies,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARE,2018,C,Ambiguous,C1,Fisher assistance,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARE,2018,C,Ambiguous,C2,Vessel buyback programs,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARE,2018,C,Ambiguous,C3,Rural fisher communities,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARG,2018,A,Beneficial,A1,Fisheries management,23293779.61,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARG,2018,A,Beneficial,A2,Fishery research and development,14683734.48,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARG,2018,A,Beneficial,A3,Marine protected areas,12357904.98,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARG,2018,B,Capacity-enhancing,B1,Boat construction and renovation,16076972.61,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARG,2018,B,Capacity-enhancing,B2,Fisheries development projects,47552559.92,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARG,2018,B,Capacity-enhancing,B3,Fishing port development,250863.5151,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARG,2018,B,Capacity-enhancing,B4,Marketing and storage infrastructure,36117673.98,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARG,2018,B,Capacity-enhancing,B5,Non-fuel tax exemption,55978883.69,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARG,2018,B,Capacity-enhancing,B6,Fishing access agreements,5988.41,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARG,2018,B,Capacity-enhancing,B7,Fuel subsidies,86845934.37,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARG,2018,C,Ambiguous,C1,Fisher assistance,10756897.04,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARG,2018,C,Ambiguous,C2,Vessel buyback programs,11715210.05,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ARG,2018,C,Ambiguous,C3,Rural fisher communities,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ATG,2018,A,Beneficial,A1,Fisheries management,1113301.419,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ATG,2018,A,Beneficial,A2,Fishery research and development,260849.8215,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ATG,2018,A,Beneficial,A3,Marine protected areas,1520416.488,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ATG,2018,B,Capacity-enhancing,B1,Boat construction and renovation,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ATG,2018,B,Capacity-enhancing,B2,Fisheries development projects,439688.0711,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ATG,2018,B,Capacity-enhancing,B3,Fishing port development,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ATG,2018,B,Capacity-enhancing,B4,Marketing and storage infrastructure,333957.0032,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ATG,2018,B,Capacity-enhancing,B5,Non-fuel tax exemption,517600.8911,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ATG,2018,B,Capacity-enhancing,B6,Fishing access agreements,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ATG,2018,B,Capacity-enhancing,B7,Fuel subsidies,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
